,stop_lost,complex_substitution,miRNA,5_prime_UTR_variant,scaRNA,3_prime_UTR_variant,NMD_transcript_variant,polymorphic_pseudogene,snRNA,transcript_ablation,stop_gained,inframe_deletion,intron_variant,2kb_downstream_variant,start_retained_variant,lnc_RNA,rRNA,NSD_transcript,misc_RNA,ribozyme,frameshift_truncation,2kb_upstream_variant,exon_loss_variant,inframe_insertion,missense_variant,stop_retained_variant,synonymous_variant,processed_transcript,frameshift_elongation,splice_site_variant,snoRNA,start_lost
CADD,0.66,0.90,0.08,0.15,,0.08,0.09,0.07,0.15,,0.83,0.29,0.11,0.14,,0.15,,0.44,0.08,0.29,0.99,0.09,,0.11,0.16,0.00,0.00,0.08,0.97,0.07,0.13,0.05
CSCAPE,0.51,0.89,0.27,0.51,,0.28,0.30,0.07,0.27,,0.24,0.29,0.46,0.32,,0.26,,0.50,0.26,0.22,0.99,0.33,,0.11,0.35,0.87,0.06,0.31,0.97,0.15,0.44,0.16
ClinPred,0.75,0.94,0.12,0.17,,0.10,0.13,0.31,0.10,,0.95,0.29,0.11,0.13,,0.19,,0.46,0.08,0.46,0.99,0.09,,0.11,0.04,0.00,0.00,0.11,0.99,0.98,0.14,0.08
DANN,0.25,0.09,0.53,0.51,,0.59,0.56,0.52,0.62,,0.33,0.29,0.59,0.56,,0.49,,0.30,0.64,0.49,0.01,0.63,,0.11,0.50,0.24,0.87,0.58,0.26,0.34,0.50,0.49
DANN_Coding,0.36,0.94,0.52,0.49,,0.58,0.54,0.28,0.70,,0.00,0.29,0.60,0.55,,0.45,,0.22,0.65,0.40,0.99,0.62,,0.11,0.41,0.00,0.99,0.56,0.99,0.01,0.50,0.10
DGI_score,0.59,0.93,0.17,0.21,,0.13,0.16,0.22,0.25,,0.99,0.29,0.12,0.16,,0.23,,0.52,0.10,0.70,0.98,0.12,,0.10,0.24,0.16,0.00,0.15,0.99,0.97,0.22,0.90
FATHMM_coding,0.73,0.94,0.17,0.19,,0.17,0.18,0.28,0.15,,0.95,0.29,0.15,0.21,,0.35,,0.46,0.14,0.51,0.99,0.14,,0.11,0.24,0.00,0.00,0.18,0.99,0.98,0.19,0.91
Funseq2,0.68,0.87,0.21,0.22,,0.17,0.19,0.52,0.17,,0.18,0.29,0.18,0.21,,0.27,,0.47,0.11,0.57,0.99,0.18,,0.11,0.41,0.10,0.02,0.20,0.96,0.98,0.33,0.36
Linsight,0.68,0.92,0.17,0.28,,0.15,0.15,0.56,0.04,,0.99,0.41,0.11,0.16,,0.20,,0.47,0.11,0.30,0.99,0.13,,0.10,0.24,0.61,0.00,0.15,0.99,0.08,0.30,0.93
LRT,0.77,0.94,0.19,0.20,,0.16,0.18,0.56,0.16,,0.97,0.29,0.13,0.19,,0.25,,0.46,0.12,0.42,0.99,0.15,,0.11,0.35,1.00,0.00,0.18,0.99,0.99,0.22,0.93
Loftool,0.75,0.85,0.34,0.43,,0.40,0.42,0.22,0.28,,0.89,0.43,0.40,0.39,,0.50,,0.58,0.28,0.70,0.91,0.39,,0.40,0.53,0.33,0.36,0.40,0.90,0.90,0.40,0.86
MetaSVM,0.75,0.94,0.15,0.19,,0.13,0.15,0.40,0.05,,0.99,0.29,0.12,0.15,,0.23,,0.49,0.10,0.51,0.99,0.11,,0.11,0.13,0.00,0.00,0.15,0.99,0.98,0.14,0.51
MetaLR,0.75,0.94,0.16,0.19,,0.15,0.17,0.42,0.10,,0.99,0.29,0.13,0.18,,0.23,,0.51,0.11,0.46,0.99,0.12,,0.11,0.17,1.00,0.00,0.16,0.99,0.98,0.14,0.49
MutPred,0.79,0.13,0.17,0.20,,0.13,0.55,0.22,0.07,,0.00,0.29,0.12,0.16,,0.22,,0.45,0.09,0.42,0.01,0.11,,0.11,0.46,0.00,0.00,0.14,0.05,0.99,0.18,0.18
MutPred_indel,0.79,0.94,0.17,0.49,,0.59,0.55,0.57,0.07,,0.99,0.31,0.61,0.16,,0.22,,0.45,0.09,0.42,0.99,0.62,,0.12,0.24,0.00,0.00,0.57,0.99,0.99,0.18,0.93
Mutation_Assessor,0.79,0.00,0.17,0.20,,0.13,0.54,0.57,0.07,,0.99,0.29,0.12,0.16,,0.22,,0.45,0.09,0.42,0.99,0.11,,0.11,0.38,0.00,0.00,0.14,0.99,0.99,0.18,0.93
Mutation_Taster,0.79,0.01,0.17,0.49,,0.59,0.55,0.57,0.07,,0.01,0.38,0.61,0.16,,0.22,,0.45,0.09,0.42,0.00,0.11,,0.11,0.43,0.00,0.99,0.57,0.01,0.00,0.18,0.02
Provean,0.79,0.02,0.17,0.49,,0.59,0.55,0.22,0.07,,0.99,0.39,0.61,0.16,,0.22,,0.45,0.09,0.42,0.00,0.11,,0.11,0.63,0.00,0.00,0.57,0.99,0.99,0.18,0.67
PHDSNPG,0.03,0.10,0.51,0.49,,0.56,0.53,0.22,0.72,,0.07,0.38,0.59,0.52,,0.40,,0.27,0.63,0.35,0.01,0.59,,0.11,0.29,0.00,0.99,0.54,0.05,0.00,0.46,0.34
Revel,0.79,0.94,0.17,0.20,,0.13,0.16,0.52,0.07,,0.99,0.29,0.12,0.16,,0.22,,0.45,0.09,0.42,0.99,0.11,,0.11,0.20,0.00,0.00,0.14,0.99,0.99,0.18,0.72
SIFT,0.79,0.94,0.17,0.49,,0.59,0.57,0.39,0.07,,0.00,0.29,0.61,0.55,,0.22,,0.23,0.09,0.42,0.99,0.62,,0.11,0.57,0.00,0.96,0.57,0.99,0.99,0.18,0.85
VEST,0.46,0.01,0.17,0.20,,0.13,0.55,0.57,0.07,,0.08,0.38,0.12,0.16,,0.22,,0.45,0.09,0.42,0.99,0.11,,0.11,0.24,0.00,0.00,0.14,0.00,0.99,0.18,0.01
dbSCSNV_ADA,0.79,0.94,0.50,0.49,,0.58,0.52,0.56,0.70,,0.01,0.29,0.53,0.53,,0.44,,0.22,0.63,0.34,0.99,0.62,,0.11,0.44,0.92,0.99,0.55,0.99,0.09,0.50,0.03
