,stop_lost,complex_substitution,miRNA,5_prime_UTR_variant,scaRNA,3_prime_UTR_variant,NMD_transcript_variant,polymorphic_pseudogene,snRNA,transcript_ablation,stop_gained,inframe_deletion,intron_variant,2kb_downstream_variant,start_retained_variant,lnc_RNA,rRNA,NSD_transcript,misc_RNA,ribozyme,frameshift_truncation,2kb_upstream_variant,exon_loss_variant,inframe_insertion,missense_variant,stop_retained_variant,synonymous_variant,processed_transcript,frameshift_elongation,splice_site_variant,snoRNA,start_lost
CADD,0.14,0.04,0.66,0.63,,0.71,0.68,0.30,0.76,,0.01,0.54,0.72,0.68,,0.60,,0.38,0.74,0.38,0.00,0.73,,0.74,0.53,0.97,1.00,0.69,0.00,0.01,0.65,0.04
CSCAPE,0.14,0.04,0.59,0.65,,0.65,0.61,0.30,0.73,,0.01,0.54,0.68,0.62,,0.53,,0.39,0.71,0.38,0.00,0.67,,0.74,0.53,0.97,0.99,0.62,0.00,0.01,0.62,0.04
ClinPred,0.14,0.04,0.66,0.63,,0.70,0.67,0.30,0.79,,0.01,0.54,0.72,0.67,,0.60,,0.40,0.76,0.41,0.00,0.73,,0.74,0.57,0.97,1.00,0.69,0.00,0.01,0.65,0.05
DANN,0.16,0.04,0.65,0.62,,0.70,0.67,0.34,0.78,,0.01,0.54,0.71,0.67,,0.59,,0.37,0.77,0.44,0.00,0.74,,0.74,0.59,0.98,1.00,0.69,0.00,0.01,0.66,0.05
DANN_Coding,0.18,0.04,0.66,0.63,,0.70,0.67,0.33,0.80,,0.01,0.54,0.72,0.68,,0.60,,0.39,0.76,0.46,0.00,0.73,,0.74,0.57,0.97,1.00,0.69,0.00,0.01,0.64,0.04
DGI_score,0.13,0.04,0.66,0.64,,0.71,0.68,0.26,0.83,,0.01,0.54,0.72,0.68,,0.60,,0.45,0.77,0.59,0.00,0.73,,0.74,0.59,0.97,1.00,0.69,0.00,0.01,0.66,0.05
FATHMM_coding,0.14,0.04,0.64,0.63,,0.68,0.66,0.30,0.79,,0.01,0.54,0.71,0.66,,0.59,,0.40,0.75,0.44,0.00,0.72,,0.74,0.52,0.97,1.00,0.67,0.00,0.01,0.62,0.05
Funseq2,0.14,0.04,0.61,0.61,,0.66,0.64,0.30,0.75,,0.01,0.54,0.70,0.64,,0.54,,0.39,0.74,0.48,0.00,0.70,,0.74,0.54,0.95,0.99,0.65,0.00,0.01,0.60,0.04
Linsight,0.14,0.04,0.65,0.65,,0.71,0.67,0.30,0.80,,0.01,0.55,0.70,0.67,,0.60,,0.41,0.75,0.43,0.00,0.72,,0.74,0.59,0.98,1.00,0.69,0.00,0.01,0.69,0.05
LRT,0.14,0.04,0.67,0.63,,0.71,0.68,0.30,0.81,,0.01,0.54,0.72,0.68,,0.61,,0.40,0.76,0.43,0.00,0.73,,0.74,0.63,1.00,1.00,0.69,0.00,0.04,0.66,0.10
Loftool,0.14,0.05,0.69,0.70,,0.74,0.71,0.26,0.81,,0.01,0.58,0.73,0.71,,0.60,,0.48,0.75,0.59,0.01,0.74,,0.76,0.68,0.98,1.00,0.72,0.00,0.01,0.72,0.10
MetaSVM,0.14,0.04,0.65,0.63,,0.69,0.67,0.30,0.80,,0.01,0.54,0.72,0.67,,0.59,,0.41,0.75,0.44,0.00,0.72,,0.74,0.54,0.97,1.00,0.68,0.00,0.01,0.65,0.05
MetaLR,0.14,0.04,0.65,0.63,,0.69,0.66,0.30,0.79,,0.01,0.54,0.72,0.66,,0.59,,0.42,0.75,0.41,0.00,0.72,,0.74,0.52,1.00,1.00,0.67,0.00,0.01,0.65,0.05
MutPred,0.14,0.04,0.66,0.63,,0.71,0.68,0.31,0.80,,0.01,0.54,0.72,0.68,,0.60,,0.40,0.76,0.43,0.00,0.73,,0.74,0.58,0.97,1.00,0.69,0.00,0.01,0.65,0.05
MutPred_indel,0.14,0.04,0.66,0.63,,0.71,0.68,0.30,0.80,,0.01,0.47,0.72,0.68,,0.60,,0.41,0.76,0.43,0.00,0.73,,0.74,0.59,0.97,1.00,0.69,0.00,0.01,0.65,0.05
Mutation_Assessor,0.14,0.03,0.66,0.63,,0.71,0.67,0.30,0.80,,0.01,0.54,0.72,0.68,,0.60,,0.40,0.76,0.43,0.00,0.73,,0.74,0.55,0.97,1.00,0.69,0.00,0.01,0.65,0.05
